"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine"
"yorkshire and the humber";1;2008;0.689114391143911;0.899346405228758;0.95580688892984;0.953216250587008;0.946646899799424;"MMR"
"yorkshire and the humber";1;2009;0.698446794448116;0.918819188191882;0.937845303867403;0.96099484594616;0.95767315908097;"MMR"
"yorkshire and the humber";1;2010;0.704968944099379;0.931262392597488;0.948667711598746;0.947445255474453;0.9655893692;"MMR"
"yorkshire and the humber";1;2011;0.70008576329331;0.939958592132505;0.95617110799439;0.961952026468155;0.9558599695586;"MMR"
"yorkshire and the humber";1;2012;0.709203980099502;0.933447684391081;0.960147601476015;0.962166172106825;0.969488611946713;"MMR"
"yorkshire and the humber";1;2013;0.711688701923077;0.945605306799337;0.946015424164524;0.977299412915851;0.967416602017067;"MMR"
"yorkshire and the humber";1;2014;0.709198113207547;0.948918269230769;0.959527220630373;0.955721003134796;0.982062780269058;"MMR"
"yorkshire and the humber";1;2015;0.708485401459854;0.94559748427673;0.959871589085072;0.970432145564822;0.961633663366337;"MMR"
"yorkshire and the humber";1;2016;0.7274724199875;0.944647201946472;0.957817207900904;0.966610455311973;0.973133148952983;"MMR"
"yorkshire and the humber";1;2017;0.7248959578875;0.96996322665;0.95410783055199;0.967491166077739;0.968498424921246;"MMR"
"yorkshire and the humber";1;2018;0.723105682575;0.96652794385;0.9752269391064;0.95954530257439;0.971417965850037;"MMR"
"yorkshire and the humber";1;2019;0.72234531165;0.9641409101;0.97363317377944;0.9782197038891;0.961305007587253;"MMR"
"yorkshire and the humber";2;2005;0;0.820352873526439;0.820352873526439;0.875960711017749;0.889792728447529;"MMR"
"yorkshire and the humber";2;2006;0;0.821080907732741;0.821080907732741;0.880670046371994;0.889378113820844;"MMR"
"yorkshire and the humber";2;2007;0;0.843931119433748;0.843931119433748;0.881452270507763;0.894160416745765;"MMR"
"yorkshire and the humber";2;2008;0;0.858422193895954;0.858422193895954;0.906003297018902;0.89495476084977;"MMR"
"yorkshire and the humber";2;2009;0;0.844254143646409;0.844254143646409;0.921572988799081;0.919886186849869;"MMR"
"yorkshire and the humber";2;2010;0;0.860313479623824;0.860313479623824;0.906350364963504;0.935697119166109;"MMR"
"yorkshire and the humber";2;2011;0;0.86343618513324;0.86343618513324;0.936385442514475;0.920197869101979;"MMR"
"yorkshire and the humber";2;2012;0;0.892656826568266;0.892656826568266;0.926172106824926;0.942101418134938;"MMR"
"yorkshire and the humber";2;2013;0;0.856860080793243;0.856860080793243;0.951291585127202;0.931644685802948;"MMR"
"yorkshire and the humber";2;2014;0;0.876404011461318;0.876404011461318;0.923793103448276;0.957003668976763;"MMR"
"yorkshire and the humber";2;2015;0;0.879020866773676;0.879020866773676;0.936459438968916;0.932442244224422;"MMR"
"yorkshire and the humber";2;2016;0;0.883116839638433;0.883116839638433;0.932765598650927;0.941252469379692;"MMR"
"yorkshire and the humber";2;2017;0;0.870397946084724;0.870397946084724;0.935088339222615;0.938246412320616;"MMR"
"yorkshire and the humber";2;2018;0;0.898945811796423;0.898945811796423;0.924075560013373;0.939101707498144;"MMR"
"yorkshire and the humber";2;2019;0;0.900150014596359;0.900150014596359;0.954404440337128;0.928437025796662;"MMR"
"east midlands";1;2005;0.7035;0.9315;0.940124004602077;0.954177916967733;0.965593868086568;"MMR"
"east midlands";1;2006;0.704625;0.938;0.945368418786367;0.949215346685782;0.955738759930762;"MMR"
"east midlands";1;2007;0.700310559006211;0.9395;0.949042484739521;0.955355942026513;0.95089511601571;"MMR"
"east midlands";1;2008;0.701878612716763;0.933747412008282;0.95143990071186;0.956994874601971;0.957201295008094;"MMR"
"east midlands";1;2009;0.696369179600887;0.935838150289017;0.962962962962963;0.96003857642837;0.958464204483916;"MMR"
"east midlands";1;2010;0.709897610921502;0.928492239467849;0.956680902989628;0.984090909090909;0.96162731785;"MMR"
"east midlands";1;2011;0.720219435736677;0.946530147895336;0.958161461402475;0.968427835051546;0.988038277511962;"MMR"
"east midlands";1;2012;0.725168132436627;0.960292580982236;0.967153284671533;0.973684210526316;0.976351351351351;"MMR"
"east midlands";1;2013;0.722595378828587;0.966890843248836;0.979271708683473;0.974126778783959;0.981033355134075;"MMR"
"east midlands";1;2014;0.720670391061452;0.963460505104782;0.978782802903406;0.987886129618413;0.981582537517053;"MMR"
"east midlands";1;2015;0.721227621483376;0.960893854748603;0.976851851851852;0.985422740524781;0.988461538461539;"MMR"
"east midlands";1;2016;0.7259037804375;0.961636828644501;0.976854599406528;0.980511571254568;0.986738999397227;"MMR"
"east midlands";1;2017;0.724103212725;0.96787170725;0.976910390324354;0.983208955223881;0.982932996207333;"MMR"
"east midlands";1;2018;0.7199596699875;0.9654709503;0.97499087923916;0.983749274521184;0.985833869929169;"MMR"
"east midlands";1;2019;0.721281704025;0.95994622665;0.97351467227244;0.97815417403935;0.986805555555556;"MMR"
"east midlands";2;2005;0;0.81819707288655;0.81819707288655;0.90444586426687;0.9060718697719;"MMR"
"east midlands";2;2006;0;0.831952692322097;0.831952692322097;0.895677122849227;0.903978965419717;"MMR"
"east midlands";2;2007;0;0.849958267928748;0.849958267928748;0.910751462825703;0.895214801266526;"MMR"
"east midlands";2;2008;0;0.857346365600259;0.857346365600259;0.930483192788033;0.910281272469454;"MMR"
"east midlands";2;2009;0;0.872745098039216;0.872745098039216;0.938579570897474;0.930002702510526;"MMR"
"east midlands";2;2010;0;0.836723611958511;0.836723611958511;0.955454545454545;0.938094854327738;"MMR"
"east midlands";2;2011;0;0.857967000589275;0.857967000589275;0.926881443298969;0.954976076555024;"MMR"
"east midlands";2;2012;0;0.864622871046229;0.864622871046229;0.94734335839599;0.936351351351351;"MMR"
"east midlands";2;2013;0;0.851456582633053;0.851456582633053;0.942729624838292;0.95375408763898;"MMR"
"east midlands";2;2014;0;0.865946398659966;0.865946398659966;0.937922471229558;0.950654843110505;"MMR"
"east midlands";2;2015;0;0.885578703703704;0.885578703703704;0.93536443148688;0.941410256410256;"MMR"
"east midlands";2;2016;0;0.900207715133531;0.900207715133531;0.949098660170524;0.937667269439421;"MMR"
"east midlands";2;2017;0;0.895101704233095;0.895101704233095;0.946567164179104;0.956902654867257;"MMR"
"east midlands";2;2018;0;0.889080316107424;0.889080316107424;0.951961694718514;0.952047649710238;"MMR"
"east midlands";2;2019;0;0.89343225258249;0.89343225258249;0.945553485428792;0.956527777777778;"MMR"
"west midlands";1;2005;0.693;0.914;0.932835138404769;0.943918968038789;0.958631240190872;"MMR"
"west midlands";1;2006;0.7035;0.924;0.936567675691122;0.93911485371604;0.950598654264793;"MMR"
"west midlands";1;2007;0.689966178128523;0.938;0.943802972093023;0.943058066360978;0.946966296169938;"MMR"
"west midlands";1;2008;0.695627889060092;0.919954904171364;0.95607945603087;0.94949824293381;0.951172913343966;"MMR"
"west midlands";1;2009;0.698949393311631;0.927503852080123;0.950602409638554;0.96127904921649;0.956618962432916;"MMR"
"west midlands";1;2010;0.706239480644386;0.931932524415508;0.95117300837271;0.959390862944162;0.9677800297;"MMR"
"west midlands";1;2011;0.712613544051399;0.941652640859181;0.958830501777953;0.965978021978022;0.970430107526882;"MMR"
"west midlands";1;2012;0.720282818259144;0.950151392068533;0.964012711500472;0.972819743204936;0.970650473824639;"MMR"
"west midlands";1;2013;0.719096829932877;0.960377091012192;0.966014008277619;0.976173087456637;0.978090083798883;"MMR"
"west midlands";1;2014;0.719872933460855;0.958795773243836;0.973778763091507;0.97741935483871;0.979940493329494;"MMR"
"west midlands";1;2015;0.717887872166075;0.959830577947807;0.970134324092598;0.981657333008684;0.981236104935527;"MMR"
"west midlands";1;2016;0.724410843075;0.957183829554766;0.970528158739422;0.978811956110481;0.984043456119504;"MMR"
