"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north west";"MMR";1;2009;0;0.910939827709048;0.922600619195046;NA;NA
"north west";"MMR";1;2010;0;0.913736023486789;0.9405334799945;0.944983818770227;NA
"north west";"MMR";1;2011;0;0.930085609457807;0.945017182130584;0.957823916660638;0.96
"north west";"MMR";1;2012;0;0.946877332669818;0.955644283121597;0.963491952901832;0.966508617445624
"north west";"MMR";1;2013;0;0.952686880816572;0.966580465486374;0.970606246172688;0.971476387979335
"north west";"MMR";1;2014;0;0.94927195866604;0.965838309895332;0.977810547012148;0.976416979774562
"north west";"MMR";1;2015;0;0.956606103369201;0.962394233782513;0.979355012818783;0.980326190302055
"north west";"MMR";1;2016;NA;0.952134319863404;0.969048361934477;0.976339550517366;0.982335623159961
"north west";"MMR";1;2017;NA;NA;0.967646347363328;0.978164225941423;0.980174247101598
"north west";"MMR";1;2018;NA;NA;NA;0.975352560030492;0.980510661415184
"north west";"MMR";1;2019;NA;NA;NA;NA;0.979109839664693
"north west";"MMR";2;2007;0;NA;NA;NA;NA
"north west";"MMR";2;2008;0;0;NA;NA;NA
"north west";"MMR";2;2009;0;0.00084202344711445;0.00464396284829721;NA;NA
"north west";"MMR";2;2010;0;0.000687113498657005;0.00439983500618727;0.690938511326861;NA
"north west";"MMR";2;2011;0;0.000951216197852969;0.00396510705789056;0.823844317441945;0.868333333333333
"north west";"MMR";2;2012;0;0.00211495396864892;0.00638838475499093;0.861353027241692;0.91119139008053
"north west";"MMR";2;2013;0;0.00402281597117983;0.0106756846362973;0.871478873239437;0.926144218875064
"north west";"MMR";2;2014;0;0.00463832785345232;0.0118153213895845;0.866933501860824;0.931409385242625
"north west";"MMR";2;2015;0;0.00117598635855824;0.00858664995299279;0.852246660369721;0.928910992466906
"north west";"MMR";2;2016;NA;0.000967558338076266;0.00430577223088924;0.842417452052989;0.921631851955699
"north west";"MMR";2;2017;NA;NA;0.00272133526850508;0.863036087866109;0.924607258009193
"north west";"MMR";2;2018;NA;NA;NA;0.870346842840808;0.929784055412196
"north west";"MMR";2;2019;NA;NA;NA;NA;0.929346018228993
