"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine";"sep";"dec"
"north east";2;2017;0;0.914865831842576;0.914865831842576;0.945182072829132;0.940490998363339;"MMR";";";"."
"north east";2;2018;0;0.912629732479841;0.912629732479841;0.951423220973783;0.949098497495826;"MMR";";";"."
"north east";2;2019;0;0.915030549876458;0.915030549876458;0.949098734785927;0.952056303549572;"MMR";";";"."
"north west";1;2005;0.698625;0.92;0.932844581625292;0.943544369154264;0.955387963379859;"MMR";";";"."
"north west";1;2006;0.703875;0.9315;0.939792734530833;0.941104996605135;0.948451678692672;"MMR";";";"."
"north west";1;2007;0.653649635036496;0.9385;0.949530742359132;0.948468766934286;0.946636961595587;"MMR";";";"."
"north west";1;2008;0.683204870781786;0.871532846715328;0.95575498106652;0.957434415533874;0.954279069156275;"MMR";";";"."
"north west";1;2009;0.685302017615092;0.910939827709048;0.922600619195046;0.9633186036989;0.962727472045604;"MMR";";";"."
"north west";1;2010;0.697564207093355;0.913736023486789;0.9405334799945;0.944983818770227;0.9683839298;"MMR";";";"."
"north west";1;2011;0.710157999502364;0.930085609457807;0.945017182130584;0.957823916660638;0.96;"MMR";";";"."
"north west";1;2012;0.714515160612429;0.946877332669818;0.955644283121597;0.963491952901832;0.966508617445624;"MMR";";";"."
"north west";1;2013;0.71195396899953;0.952686880816572;0.966580465486374;0.970606246172688;0.971476387979335;"MMR";";";"."
"north west";1;2014;0.717454577526901;0.94927195866604;0.965838309895332;0.977810547012148;0.976416979774562;"MMR";";";"."
"north west";1;2015;0.714100739897553;0.956606103369201;0.962394233782513;0.979355012818783;0.980326190302055;"MMR";";";"."
"north west";1;2016;0.7259750872125;0.952134319863404;0.969048361934477;0.976339550517366;0.982335623159961;"MMR";";";"."
"north west";1;2017;0.7234596825;0.96796678295;0.967646347363328;0.978164225941423;0.980174247101598;"MMR";";";"."
"north west";1;2018;0.7215618690375;0.96461291;0.97236365547984;0.975352560030492;0.980510661415184;"MMR";";";"."
"north west";1;2019;0.719736384675;0.96208249205;0.97122625271101;0.9745762603812;0.979109839664693;"MMR";";";"."
"north west";2;2005;0;0.780061332458763;0.780061332458763;0.869228609464307;0.872631811080109;"MMR";";";"."
"north west";2;2006;0;0.786137763308759;0.786137763308759;0.871903174592799;0.871899326342045;"MMR";";";"."
"north west";2;2007;0;0.805505381234876;0.805505381234876;0.878685969088167;0.87458201564456;"MMR";";";"."
"north west";2;2008;0;0.819772049646141;0.819772049646141;0.900305004258749;0.881385413340896;"MMR";";";"."
"north west";2;2009;0;0.765541795665635;0.765541795665635;0.916230122532291;0.903070117805549;"MMR";";";"."
"north west";2;2010;0;0.834424584078097;0.834424584078097;0.855695792880259;0.919043609712177;"MMR";";";"."
"north west";2;2011;0;0.8547237642083;0.8547237642083;0.895375099471895;0.858333333333333;"MMR";";";"."
"north west";2;2012;0;0.867676950998185;0.867676950998185;0.911131470772661;0.90119139008053;"MMR";";";"."
"north west";2;2013;0;0.862952721968039;0.862952721968039;0.91620943049602;0.916144218875064;"MMR";";";"."
"north west";2;2014;0;0.852582675142875;0.852582675142875;0.915707464363458;0.921409385242625;"MMR";";";"."
"north west";2;2015;0;0.854368536508931;0.854368536508931;0.908499527729051;0.918910992466906;"MMR";";";"."
"north west";2;2016;0;0.86600624024961;0.86600624024961;0.911109866209715;0.911631851955699;"MMR";";";"."
"north west";2;2017;0;0.866572327044025;0.866572327044025;0.917955020920502;0.914607258009193;"MMR";";";"."
"north west";2;2018;0;0.87705102463337;0.87705102463337;0.914914242154745;0.919784055412196;"MMR";";";"."
"north west";2;2019;0;0.873631382240476;0.873631382240476;0.925970827379493;0.919346018228993;"MMR";";";"."
"yorkshire and the humber";1;2005;0.696;0.916;0.940307480419247;0.943130825427012;0.952859035776169;"MMR";";";"."
"yorkshire and the humber";1;2006;0.70125;0.928;0.936846021243569;0.945246246486734;0.946865645360099;"MMR";";";"."
"yorkshire and the humber";1;2007;0.674509803921569;0.935;0.948183682806876;0.942043735449551;0.949620082945086;"MMR";";";"."
"yorkshire and the humber";1;2008;0.689114391143911;0.899346405228758;0.95580688892984;0.953216250587008;0.946646899799424;"MMR";";";"."
"yorkshire and the humber";1;2009;0.698446794448116;0.918819188191882;0.937845303867403;0.96099484594616;0.95767315908097;"MMR";";";"."
"yorkshire and the humber";1;2010;0.704968944099379;0.931262392597488;0.948667711598746;0.947445255474453;0.9655893692;"MMR";";";"."
"yorkshire and the humber";1;2011;0.70008576329331;0.939958592132505;0.95617110799439;0.961952026468155;0.9558599695586;"MMR";";";"."
"yorkshire and the humber";1;2012;0.709203980099502;0.933447684391081;0.960147601476015;0.962166172106825;0.969488611946713;"MMR";";";"."
"yorkshire and the humber";1;2013;0.711688701923077;0.945605306799337;0.946015424164524;0.977299412915851;0.967416602017067;"MMR";";";"."
"yorkshire and the humber";1;2014;0.709198113207547;0.948918269230769;0.959527220630373;0.955721003134796;0.982062780269058;"MMR";";";"."
"yorkshire and the humber";1;2015;0.708485401459854;0.94559748427673;0.959871589085072;0.970432145564822;0.961633663366337;"MMR";";";"."
"yorkshire and the humber";1;2016;0.7274724199875;0.944647201946472;0.957817207900904;0.966610455311973;0.973133148952983;"MMR";";";"."
"yorkshire and the humber";1;2017;0.7248959578875;0.96996322665;0.95410783055199;0.967491166077739;0.968498424921246;"MMR";";";"."
"yorkshire and the humber";1;2018;0.723105682575;0.96652794385;0.9752269391064;0.95954530257439;0.971417965850037;"MMR";";";"."
"yorkshire and the humber";1;2019;0.72234531165;0.9641409101;0.97363317377944;0.9782197038891;0.961305007587253;"MMR";";";"."
"yorkshire and the humber";2;2005;0;0.800352873526439;0.800352873526439;0.855960711017749;0.869792728447529;"MMR";";";"."
"yorkshire and the humber";2;2006;0;0.801080907732741;0.801080907732741;0.860670046371994;0.869378113820844;"MMR";";";"."
"yorkshire and the humber";2;2007;0;0.823931119433748;0.823931119433748;0.861452270507763;0.874160416745765;"MMR";";";"."
"yorkshire and the humber";2;2008;0;0.838422193895954;0.838422193895954;0.886003297018902;0.87495476084977;"MMR";";";"."
"yorkshire and the humber";2;2009;0;0.824254143646409;0.824254143646409;0.901572988799081;0.899886186849869;"MMR";";";"."
"yorkshire and the humber";2;2010;0;0.840313479623824;0.840313479623824;0.886350364963504;0.915697119166109;"MMR";";";"."
"yorkshire and the humber";2;2011;0;0.84343618513324;0.84343618513324;0.916385442514475;0.900197869101979;"MMR";";";"."
"yorkshire and the humber";2;2012;0;0.872656826568266;0.872656826568266;0.906172106824926;0.922101418134938;"MMR";";";"."
"yorkshire and the humber";2;2013;0;0.836860080793243;0.836860080793243;0.931291585127202;0.911644685802948;"MMR";";";"."
