"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine"
"north west";1;2005;0.698625;0.92;0.932844581625292;0.943544369154264;0.955387963379859;"MMR"
"north west";1;2006;0.703875;0.9315;0.939792734530833;0.941104996605135;0.948451678692672;"MMR"
"north west";1;2007;0.653649635036496;0.9385;0.949530742359132;0.948468766934286;0.946636961595587;"MMR"
"north west";1;2008;0.683204870781786;0.871532846715328;0.95575498106652;0.957434415533874;0.954279069156275;"MMR"
"north west";1;2009;0.685302017615092;0.910939827709048;0.922600619195046;0.9633186036989;0.962727472045604;"MMR"
"north west";1;2010;0.697564207093355;0.913736023486789;0.9405334799945;0.944983818770227;0.9683839298;"MMR"
"north west";1;2011;0.710157999502364;0.930085609457807;0.945017182130584;0.957823916660638;0.96;"MMR"
"north west";1;2012;0.714515160612429;0.946877332669818;0.955644283121597;0.963491952901832;0.966508617445624;"MMR"
"north west";1;2013;0.71195396899953;0.952686880816572;0.966580465486374;0.970606246172688;0.971476387979335;"MMR"
"north west";1;2014;0.717454577526901;0.94927195866604;0.965838309895332;0.977810547012148;0.976416979774562;"MMR"
"north west";1;2015;0.714100739897553;0.956606103369201;0.962394233782513;0.979355012818783;0.980326190302055;"MMR"
"north west";1;2016;0.7259750872125;0.952134319863404;0.969048361934477;0.976339550517366;0.982335623159961;"MMR"
"north west";1;2017;0.7234596825;0.96796678295;0.967646347363328;0.978164225941423;0.980174247101598;"MMR"
"north west";1;2018;0.7215618690375;0.96461291;0.97236365547984;0.975352560030492;0.980510661415184;"MMR"
"north west";1;2019;0.719736384675;0.96208249205;0.97122625271101;0.9745762603812;0.979109839664693;"MMR"
"north west";2;2005;0;0.597103322481569;0.790061332458763;0.879228609464307;0.882631811080109;"MMR"
"north west";2;2006;0;0.611629035926157;0.796137763308759;0.881903174592799;0.881899326342045;"MMR"
"north west";2;2007;0;0.622329037234606;0.815505381234876;0.888685969088167;0.88458201564456;"MMR"
"north west";2;2008;0;0.581656346749226;0.829772049646141;0.910305004258749;0.891385413340896;"MMR"
"north west";2;2009;0;0.633318438058573;0.775541795665635;0.926230122532291;0.913070117805549;"MMR"
"north west";2;2010;0;0.648542823156225;0.844424584078097;0.865695792880259;0.929043609712177;"MMR"
"north west";2;2011;0;0.658257713248639;0.8647237642083;0.905375099471895;0.868333333333333;"MMR"
"north west";2;2012;0;0.654714541476029;0.877676950998185;0.921131470772661;0.91119139008053;"MMR"
"north west";2;2013;0;0.646937006357157;0.872952721968039;0.92620943049602;0.926144218875064;"MMR"
"north west";2;2014;0;0.648276402381699;0.862582675142875;0.925707464363458;0.931409385242625;"MMR"
"north west";2;2015;0;0.657004680187207;0.864368536508931;0.918499527729051;0.928910992466906;"MMR"
"north west";2;2016;0;0.657429245283019;0.87600624024961;0.921109866209715;0.921631851955699;"MMR"
"north west";2;2017;0;0.665288268475027;0.876572327044025;0.927955020920502;0.924607258009193;"MMR"
"north west";2;2018;0;0.662723536680357;0.88705102463337;0.924914242154745;0.929784055412196;"MMR"
"north west";2;2019;0;0.661572161654665;0.883631382240476;0.935970827379493;0.929346018228993;"MMR"
"yorkshire and the humber";1;2005;0.696;0.916;0.940307480419247;0.943130825427012;0.952859035776169;"MMR"
"yorkshire and the humber";1;2006;0.70125;0.928;0.936846021243569;0.945246246486734;0.946865645360099;"MMR"
"yorkshire and the humber";1;2007;0.674509803921569;0.935;0.948183682806876;0.942043735449551;0.949620082945086;"MMR"
