"";"Name";"Area";"Year";"age0";"age1";"age2";"age3";"age4";"age5";"age6to9";"age11to15";"age16t20";"age21to30";"age31to40";"age40plus";"sum_all";"age0_m";"age1_m";"age2_m";"age3_m";"age4_m";"age5_m";"age6to9_m";"age11to15_m";"age16to20_m";"age21to30_m";"age31to40_m";"age40plus_m";"total_pop_m"
"11";"ENGLAND";"Country";2013;676531;701281;688777;678113;669428;676035;3097012;3022061;3308976;7341296;7037510;25968797;53865817;638501;650257,333333333;650250,666666667;646431,666666667;637469,666666667;641144;3201586,33333333;3166369,33333333;3261121,66666667;7111769;7335900,33333333;25698089,3333333;53638890,3333333
"12";"NORTH EAST";"Region";2013;29677;30718;30945;30597;29844;30419;140743;139880;169591;349261;302167;1326639;2610481;28378,3333333333;28733;29097;28980;28367;28952,3333333333;147399;149863,666666667;167570;339939,666666667;323300,666666667;1310466,66666667;2611047,33333333
"13";"NORTH WEST";"Region";2013;87203;90265;88850;87440;86508;88045;405867;400394;446181;962556;865585;3494367;7103261;83668,6666666667;84835;84845,6666666667;84234,6666666667;83407,3333333333;84327,6666666667;422014,666666667;426648,666666667;446153;930565;920051,333333333;3448071,33333333;7098823
"14";"YORKSHIRE AND THE HUMBER";"Region";2013;65625;68262;66706;67008;66480;66297;307320;299477;352046;731204;649186;2598100;5337711;62096;63431;63572,6666666667;63267;62863;62668,6666666667;317140,666666667;317194,666666667;349442;718213,666666667;685000,666666667;2564149;5329039
"15";"EAST MIDLANDS";"Region";2013;54062;56460;56288;55351;54853;55838;257682;258649;299135;589268;551356;2309489;4598431;51262,6666666667;52475,3333333333;53096,6666666667;53103,6666666667;52695;53231;268500,333333333;271908,333333333;295235,333333333;580676;587671,666666667;2279141,66666667;4598997,66666667
"16";"WEST MIDLANDS";"Region";2013;72581;74395;72997;71641;71910;72703;338300;332658;365274;758843;694098;2749312;5674712;68529,3333333333;69847;69888,6666666667;69075,6666666667;68603,6666666667;69167,6666666667;348044,333333333;347557,333333333;359076,333333333;741294,333333333;733555;2712344,66666667;5656984
"17";"EAST";"Region";2013;72766;75623;75621;74997;74363;74806;342744;339280;349634;727415;753350;2993717;5954316;68957;70959,3333333333;71852,3333333333;71850;71222,3333333333;71939;358985;354022,666666667;338355;702282,666666667;788729,666666667;2958718;5927873
"18";"LONDON";"Region";2013;130172;132726;123448;119104;115831;115877;507765;455079;463498;1502882;1487271;3262890;8416543;120918,333333333;120664;116008,333333333;113253;109380,666666667;107125,666666667;509991;465252,666666667;458886,333333333;1425827;1493552,66666667;3267507;8308366,66666667
"19";"SOUTH EAST";"Region";2013;104848;110528;111828;110968;109359;110800;511665;506089;534414;1071043;1117696;4393528;8792766;99127;101959;103979,333333333;104389,666666667;103322;104751,333333333;528975,333333333;528216,666666667;521865,333333333;1042343,66666667;1150693,33333333;4342768,66666667;8732391,33333333
"20";"SOUTH WEST";"Region";2013;59597;62304;62094;61007;60280;61250;284926;290555;329203;648824;616801;2840755;5377596;55563,6666666667;57353,6666666667;57910;58278;57608,6666666667;58980,6666666667;300536;305704,666666667;324538,333333333;630627;653345,333333333;2814922,33333333;5375368,33333333
